timestamp_utc,country,result,duration_s,note
2026-04-25T10:40:29Z,Comoros,ok,265,
2026-04-25T10:43:30Z,Mauritius,ok,181,
2026-04-25T10:44:25Z,Gambia,ok,33,
2026-04-25T10:45:02Z,Djibouti,ok,32,
2026-04-25T10:45:13Z,Rwanda,ok,11,
2026-04-25T10:46:36Z,Guinea-Bissau,ok,80,
2026-04-25T11:11:24Z,Ivory Coast,ok,1488,
2026-04-25T11:34:06Z,Congo,ok,1361,
2026-04-25T11:48:16Z,Morocco,ok,850,
2026-04-25T13:32:48Z,Central African Republic,ok,6272,
2026-04-25T13:47:07Z,Somalia,ok,858,
2026-04-25T13:58:41Z,South Sudan,ok,694,
2026-04-25T14:22:11Z,Mozambique,ok,1409,
2026-04-25T14:40:32Z,Nigeria,ok,1100,
