country,status,tiles_downloaded,output_file,r2_key,size_mb,error,timestamp
Seychelles,in_progress,0,,,0.0,,2026-04-19T06:00:47.772936+00:00
Seychelles,failed,2,,,0.0,"clip: Unable to allocate 8.06 GiB for an array with shape (71575, 120962) and data type uint8",2026-04-19T06:23:40.373877+00:00
Sao Tome and Principe,in_progress,0,,,0.0,,2026-04-19T06:23:50.387507+00:00
Sao Tome and Principe,done,2,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Sao_Tome_and_Principe_LULC.tif,lulc/Sao_Tome_and_Principe/Sao_Tome_and_Principe_LULC.tif,1.5817,,2026-04-19T06:28:45.206568+00:00
Comoros,in_progress,0,,,0.0,,2026-04-19T06:28:45.892448+00:00
Comoros,done,1,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Comoros_LULC.tif,lulc/Comoros/Comoros_LULC.tif,1.7165,,2026-04-19T06:30:32.288459+00:00
Mauritius,in_progress,0,,,0.0,,2026-04-19T06:30:32.573167+00:00
Mauritius,failed,1,,,0.0,"clip: Unable to allocate 9.53 GiB for an array with shape (122322, 83638) and data type uint8",2026-04-19T06:50:30.486818+00:00
Cabo Verde,in_progress,0,,,0.0,,2026-04-19T06:50:34.296836+00:00
Cabo Verde,done,2,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Cabo_Verde_LULC.tif,lulc/Cabo_Verde/Cabo_Verde_LULC.tif,7.8946,,2026-04-19T06:56:48.271342+00:00
Gambia,in_progress,0,,,0.0,,2026-04-19T06:56:49.214596+00:00
Gambia,done,2,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Gambia_LULC.tif,lulc/Gambia/Gambia_LULC.tif,1.5748,,2026-04-19T06:58:16.365718+00:00
Eswatini,in_progress,0,,,0.0,,2026-04-19T06:58:16.839934+00:00
Eswatini,failed,2,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Eswatini_LULC.tif,lulc/Eswatini/Eswatini_LULC.tif,21.927,"r2_upload: Could not connect to the endpoint URL: ""https://2d7d8cc536086b35e2800be940b02d62.r2.cloudflarestorage.com/gis-data-lenga-maps/lulc/Eswatini/Eswatini_LULC.tif""",2026-04-19T07:06:09.065446+00:00
Djibouti,in_progress,0,,,0.0,,2026-04-19T07:06:09.067528+00:00
